"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000006712.15",4934,5592,4329,6649,2914,3497,2138,3849,5666,7187
"ENSG00000006715.16",4903,3636,8961,3293,3759,3078,1725,2817,2990,2469
"ENSG00000006740.17",892,3652,1897,118,965,489,153,633,791,547
"ENSG00000006744.19",4151,6408,5167,5154,5962,3024,2417,3135,4847,4573
"ENSG00000006747.15",1051,193,284,173,173,181,48,138,264,392
"ENSG00000006756.16",5686,13421,13560,1372,2450,4480,1965,7185,6300,5995
"ENSG00000006757.12",3805,2100,6987,1195,226,1367,1091,1756,1579,2009
"ENSG00000006788.14",25,15,9,20,3,3,0,3,17,4
"ENSG00000006831.10",8496,7006,15363,15830,10107,5589,8909,4077,5349,4487
"ENSG00000006837.12",56,46,38,33,15,13,3,18,15,21
"ENSG00000007001.13",4,11,19,3,2,10,10,21,8,19
"ENSG00000007038.11",16,448,5,6,1148,84,6,466,58,236
"ENSG00000007047.15",1599,6680,2651,2090,2094,1611,1347,1886,2725,2665
"ENSG00000007062.12",82,14603,1044,11,57447,6527,12,7001,9242,4108
"ENSG00000007080.11",1371,2347,1133,5366,2907,1580,1793,1511,2332,5279
"ENSG00000007129.18",65,38,59,135,74,49,21,24,53,126
"ENSG00000007168.14",8782,10452,23617,5154,12051,7460,4094,6142,9759,5389
"ENSG00000007171.18",73,29,98,15,70,37,15,13,35,113
"ENSG00000007174.18",4,38,331,11,1,65,559,48,77,98
"ENSG00000007202.15",26518,12699,26102,4483,18176,8876,4601,8028,10508,5491
"ENSG00000007216.15",6,11260,29,3,24,1173,3,2021,1104,932
"ENSG00000007237.19",4829,1254,928,1252,3528,2612,2334,950,13648,3088
"ENSG00000007255.10",483,1706,770,1800,598,773,570,1109,1221,3011
"ENSG00000007264.15",167,32,154,178,696,270,32,126,93,222
"ENSG00000007306.15",92,125,23,1,0,38,0,11,20,12
"ENSG00000007312.13",16,8,18,58,592,124,126,143,215,372
"ENSG00000007314.12",29,21,145,61,23,1248,1943,199,262,297
"ENSG00000007341.19",411,655,1877,828,731,702,369,602,703,581
"ENSG00000007350.17",0,2,1,29,2,5,11,6,18,5
"ENSG00000007372.24",17,15,0,3,23,0,1,60,6,0
"ENSG00000007376.8",936,1424,452,7036,1988,515,339,827,822,1740
"ENSG00000007384.15",3140,6078,618,5778,2055,1884,700,2031,2443,3336
"ENSG00000007392.17",2248,3502,1512,4749,3031,2040,1070,1509,1189,2690
"ENSG00000007402.12",527,1415,7648,1330,45,290,57,865,485,786
"ENSG00000007516.14",776,781,462,7531,36,640,227,633,947,1281
"ENSG00000007520.4",1565,1553,847,8462,1596,916,1203,1111,1412,3162
"ENSG00000007541.17",2272,4380,1387,10573,1988,1501,870,1775,1965,4247
"ENSG00000007545.16",1052,1616,1088,1202,1508,959,630,1248,805,1172
"ENSG00000007866.22",2868,2527,1252,1572,4501,2682,459,2577,3312,3569
"ENSG00000007908.16",18,147,109,58,1705,2233,164,297,1991,408
"ENSG00000007923.16",1692,2402,1459,940,3310,1710,1057,1308,1738,1129
